step,ns,e_pot,e_kin,e_tot,T,time_cost_so_far
2650,0.0053,411.34865283966064,68.31073760986328,479.6593904495239,149.78443079193784,29.56372904777527
2700,0.005399999999999999,407.7865135669708,72.56580352783203,480.35231709480286,159.11448121746713,30.127311944961548
2750,0.0055,406.48365211486816,73.74687194824219,480.23052406311035,161.70420089064373,30.774513959884644
2800,0.0056,403.7504360675812,75.18846893310547,478.93890500068665,164.86517955028484,31.327372789382935
2850,0.005699999999999999,406.72773146629333,72.90017700195312,479.62790846824646,159.84765937137888,31.877223014831543
2900,0.0058,409.32491755485535,70.14708709716797,479.4720046520233,153.81098023811575,32.43561100959778
2950,0.0059,407.0657298564911,72.0573959350586,479.1231257915497,157.99969978546466,32.9840190410614
3000,0.006,400.8023750782013,77.53106689453125,478.33344197273254,170.0017761455447,33.53196692466736
3050,0.0060999999999999995,401.5836112499237,77.32621765136719,478.9098289012909,169.55260478011857,34.06994700431824
3100,0.0062,408.33365964889526,71.17933654785156,479.5129961967468,156.07438569699062,34.61014103889465
3150,0.0063,400.2077703475952,77.96370697021484,478.17147731781006,170.95042272354172,35.165156841278076
3200,0.0063999999999999994,406.1588180065155,72.56161499023438,478.7204329967499,159.10529704317963,35.69859004020691
3250,0.0065,403.94688272476196,74.50798034667969,478.45486307144165,163.3730774424095,36.23077988624573
3300,0.0066,403.42087864875793,75.21448516845703,478.63536381721497,164.9222251501397,36.81613302230835
3350,0.006699999999999999,397.96776509284973,79.65467071533203,477.62243580818176,174.65818596712893,37.35883808135986
3400,0.0068,405.18527364730835,73.77824401855469,478.96351766586304,161.77299018876784,37.90403389930725
3450,0.0069,397.72329664230347,80.16250610351562,477.8858027458191,175.7717127305129,38.43910312652588
3500,0.006999999999999999,401.2189984321594,76.35182189941406,477.5708203315735,167.41605468303243,38.97548508644104
3550,0.0070999999999999995,404.3171925544739,74.34990692138672,478.6670994758606,163.02647105431774,39.50948905944824
3600,0.0072,407.86684226989746,72.179443359375,480.04628562927246,158.26731223733512,40.043362855911255
3650,0.0073,395.57993173599243,82.30314636230469,477.8830780982971,180.46547821909883,40.602680921554565
3700,0.0073999999999999995,398.2901842594147,79.72209167480469,478.01227593421936,174.80601938821908,41.14297795295715
3750,0.0075,402.62377405166626,75.94363403320312,478.5674080848694,166.52102427733303,41.67906999588013
3800,0.0076,410.3689615726471,69.21519470214844,479.58415627479553,151.7676269260124,42.213156938552856
3850,0.007699999999999999,399.2896761894226,79.3177490234375,478.6074252128601,173.91942035563605,42.746870040893555
3900,0.0078,404.09653210639954,74.30769348144531,478.40422558784485,162.9339099681016,43.31678915023804
3950,0.007899999999999999,403.4722030162811,76.32501220703125,479.7972152233124,167.35726927602656,43.87928605079651
4000,0.008,409.33352756500244,70.11993408203125,479.4534616470337,153.7514420299388,44.42460489273071
4050,0.0081,400.9875178337097,77.49467468261719,478.4821925163269,169.92197922140755,45.00239896774292
