step,ns,e_pot,e_kin,e_tot,T,time_cost_so_far
1250,0.0025,-406757.84375,9.979223251342773,-406747.86452674866,159.42138331839556,112.52156233787537
1300,0.0026,-406760.25,12.549787521362305,-406747.70021247864,200.48699549219012,116.9667375087738
1350,0.0026999999999999997,-406758.75,10.761392593383789,-406747.9886074066,171.91679657419576,121.39345645904541
1400,0.0028,-406758.90625,11.161895751953125,-406747.74435424805,178.3149666475949,125.66197609901428
1450,0.0029,-406757.8125,10.212617874145508,-406747.59988212585,163.1499394082977,129.85116171836853
1500,0.003,-406758.375,10.606485366821289,-406747.7685146332,169.44210253011903,134.17454624176025
1550,0.0031,-406756.96875,9.1221923828125,-406747.8465576172,145.73003248211901,138.45850276947021
1600,0.0031999999999999997,-406758.875,11.139237403869629,-406747.73576259613,177.9529920625795,142.6349217891693
1650,0.0033,-406757.0,9.316863059997559,-406747.68313694,148.83996076678736,146.76505160331726
1700,0.0034,-406759.28125,11.664484977722168,-406747.6167650223,186.3439953199659,150.91066241264343
1750,0.0034999999999999996,-406759.0,11.13119125366211,-406747.86880874634,177.82445215880517,155.21775603294373
1800,0.0036,-406759.0,11.120161056518555,-406747.8798389435,177.64824112087058,159.9473671913147
1850,0.0036999999999999997,-406757.71875,10.184194564819336,-406747.5345554352,162.69586766572442,164.54330492019653
1900,0.0038,-406757.84375,10.372873306274414,-406747.4708766937,165.71007280052737,169.28950119018555
1950,0.0039,-406760.375,12.721351623535156,-406747.65364837646,203.22778861879885,174.01334404945374
2000,0.004,-406757.03125,9.298783302307129,-406747.7324666977,148.55113067365542,178.50010323524475
2050,0.0040999999999999995,-406757.90625,10.340177536010742,-406747.566072464,165.18774708510722,182.6595060825348
2100,0.0042,-406757.40625,9.862503051757812,-406747.54374694824,157.5567396271614,186.8753764629364
2150,0.0043,-406757.78125,10.226405143737793,-406747.55484485626,163.37019558808504,191.14348340034485
2200,0.004399999999999999,-406757.375,9.671049118041992,-406747.70395088196,154.49819988053156,195.5692479610443
2250,0.0045,-406760.0625,12.111169815063477,-406747.95133018494,193.47993294584492,199.40042352676392
2300,0.0046,-406758.84375,11.27534294128418,-406747.5684070587,180.1273229203446,202.87838006019592
2350,0.0047,-406757.625,10.239078521728516,-406747.3859214783,163.57265698209446,206.31614470481873
2400,0.0048,-406758.0625,10.462566375732422,-406747.59993362427,167.1429491724579,209.78467106819153
