#"Progress (%)"	"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"	"Elapsed Time (s)"	"Time Remaining"
14.0%	7000	14.000000000001345	719.7252197265625	298.3083458744023	1.3e+03	0.9170527458190918	0:05
14.2%	7100	14.200000000001411	775.5648193359375	294.71101506010007	1.3e+03	0.9316198825836182	0:05
14.4%	7200	14.400000000001478	770.4125366210938	333.12214346098153	1.3e+03	0.9458327293395996	0:05
14.6%	7300	14.600000000001545	766.432861328125	307.0096848466758	1.3e+03	0.9586060047149658	0:05
14.8%	7400	14.800000000001612	803.2943725585938	309.91576763596487	1.3e+03	0.9728059768676758	0:05
15.0%	7500	15.000000000001679	732.468017578125	326.3030573553233	1.3e+03	0.9855101108551025	0:05
15.2%	7600	15.200000000001745	815.7119140625	291.7780888016962	1.3e+03	0.997870922088623	0:05
15.4%	7700	15.400000000001812	799.2091064453125	298.30189596693526	1.3e+03	1.010603904724121	0:05
15.6%	7800	15.600000000001879	765.199462890625	309.40026586201986	1.3e+03	1.0231819152832031	0:05
15.8%	7900	15.800000000001946	747.49853515625	309.01694833072145	1.3e+03	1.0358099937438965	0:05
16.0%	8000	16.00000000000201	781.7803344726562	314.44779993029965	1.3e+03	1.0497009754180908	0:05
16.2%	8100	16.2000000000019	865.8679809570312	280.25512055459615	1.3e+03	1.0626599788665771	0:05
16.4%	8200	16.40000000000179	862.5995483398438	293.0950823919532	1.3e+03	1.0754201412200928	0:05
16.6%	8300	16.60000000000168	821.1434326171875	298.3229788722937	1.3e+03	1.0892419815063477	0:05
16.8%	8400	16.800000000001567	765.927978515625	299.71453844560995	1.3e+03	1.1017439365386963	0:05
17.0%	8500	17.000000000001457	813.51708984375	271.06655230660897	1.3e+03	1.1157159805297852	0:05
17.2%	8600	17.200000000001346	767.3594360351562	287.2771850426905	1.3e+03	1.1282007694244385	0:05
17.4%	8700	17.400000000001235	779.2637939453125	313.48115635934636	1.3e+03	1.1403729915618896	0:05
17.6%	8800	17.600000000001124	800.6890869140625	293.8462405358918	1.3e+03	1.1544737815856934	0:05
17.8%	8900	17.800000000001013	784.0228271484375	317.8019848204976	1.3e+03	1.166736125946045	0:05
18.0%	9000	18.000000000000902	775.1971435546875	349.1166771152505	1.3e+03	1.1804699897766113	0:05
18.2%	9100	18.20000000000079	893.4185791015625	304.2949182514123	1.3e+03	1.1937379837036133	0:05
18.4%	9200	18.40000000000068	840.86181640625	330.5045239842914	1.3e+03	1.206125020980835	0:05
18.6%	9300	18.60000000000057	796.845458984375	340.21379703828694	1.3e+03	1.2199928760528564	0:05
18.8%	9400	18.80000000000046	854.6468505859375	336.98141670453714	1.3e+03	1.2341978549957275	0:05
19.0%	9500	19.000000000000348	855.8478393554688	325.37500078399336	1.3e+03	1.2470498085021973	0:05
19.2%	9600	19.200000000000237	865.4324340820312	328.78212139318106	1.3e+03	1.260694980621338	0:05
19.4%	9700	19.400000000000126	897.2669677734375	365.22193268753927	1.3e+03	1.2727179527282715	0:05
19.6%	9800	19.600000000000016	870.6239013671875	347.3957818194364	1.3e+03	1.2855589389801025	0:05
19.8%	9900	19.799999999999905	807.5396118164062	347.00277932322615	1.3e+03	1.297888994216919	0:05
20.0%	10000	19.999999999999794	824.8212890625	342.24237027040493	1.3e+03	1.3119709491729736	0:05
20.2%	10100	20.199999999999683	785.19287109375	352.5342048394176	1.3e+03	1.3252170085906982	0:05
20.4%	10200	20.399999999999572	832.7158203125	332.0211808726042	1.3e+03	1.3393659591674805	0:05
20.6%	10300	20.59999999999946	791.5357055664062	293.7152535029584	1.3e+03	1.3520429134368896	0:05
