#"Progress (%)"	"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"	"Elapsed Time (s)"	"Time Remaining"
11.6%	5800	11.600000000000543	865.0765380859375	289.75645068707416	1.28e+03	0.7715749740600586	0:05
11.8%	5900	11.80000000000061	942.6013793945312	306.2587786833826	1.28e+03	0.7857420444488525	0:05
12.0%	6000	12.000000000000677	918.056396484375	331.53079473488066	1.28e+03	0.7982280254364014	0:05
12.2%	6100	12.200000000000744	1019.2760009765625	282.4314024589455	1.28e+03	0.811661958694458	0:05
12.4%	6200	12.40000000000081	887.46826171875	340.3108424240913	1.28e+03	0.8241331577301025	0:05
12.6%	6300	12.600000000000877	955.9971923828125	309.4439037971348	1.28e+03	0.8377981185913086	0:05
12.8%	6400	12.800000000000944	896.645263671875	342.5867200470151	1.28e+03	0.8507392406463623	0:05
13.0%	6500	13.00000000000101	942.1650390625	326.80278731449266	1.28e+03	0.8631939888000488	0:05
13.2%	6600	13.200000000001078	862.1635131835938	334.217733262565	1.28e+03	0.8758041858673096	0:05
13.4%	6700	13.400000000001144	893.9698486328125	327.8877549840386	1.28e+03	0.8903641700744629	0:05
13.6%	6800	13.600000000001211	903.61279296875	315.05900175971163	1.28e+03	0.9042699337005615	0:05
13.8%	6900	13.800000000001278	892.331298828125	309.3932937401601	1.28e+03	0.9182980060577393	0:05
14.0%	7000	14.000000000001345	901.9358520507812	288.58333541405926	1.28e+03	0.9326550960540771	0:05
14.2%	7100	14.200000000001411	889.093994140625	276.5206451541165	1.28e+03	0.9457709789276123	0:05
14.4%	7200	14.400000000001478	851.7466430664062	294.8410341411779	1.28e+03	0.9595539569854736	0:05
14.6%	7300	14.600000000001545	891.3133544921875	321.52922475511303	1.26e+03	0.9883460998535156	0:05
14.8%	7400	14.800000000001612	959.0610961914062	295.7027088157022	1.26e+03	1.002091884613037	0:05
15.0%	7500	15.000000000001679	859.2296142578125	321.0041049741003	1.26e+03	1.0163249969482422	0:05
15.2%	7600	15.200000000001745	879.1721801757812	309.8785671759276	1.26e+03	1.0285310745239258	0:05
15.4%	7700	15.400000000001812	851.310302734375	308.9125689219325	1.26e+03	1.0421249866485596	0:05
15.6%	7800	15.600000000001879	847.569091796875	297.9682884271236	1.26e+03	1.0556252002716064	0:05
15.8%	7900	15.800000000001946	859.9232788085938	280.61013099746054	1.26e+03	1.0687222480773926	0:05
16.0%	8000	16.00000000000201	878.5587768554688	297.6204587507546	1.26e+03	1.0825309753417969	0:05
16.2%	8100	16.2000000000019	891.2608032226562	288.27477485966625	1.26e+03	1.0954890251159668	0:05
16.4%	8200	16.40000000000179	944.9517822265625	262.3703420403029	1.26e+03	1.1094231605529785	0:05
16.6%	8300	16.60000000000168	921.5398559570312	306.2817522424069	1.26e+03	1.1231322288513184	0:05
16.8%	8400	16.800000000001567	920.965087890625	279.17776317571094	1.26e+03	1.1371030807495117	0:05
17.0%	8500	17.000000000001457	857.17919921875	297.82352832304196	1.26e+03	1.150805950164795	0:05
17.2%	8600	17.200000000001346	882.3330688476562	299.87719461303055	1.26e+03	1.165480136871338	0:05
17.4%	8700	17.400000000001235	900.605224609375	309.4590200458214	1.26e+03	1.1785900592803955	0:05
17.6%	8800	17.600000000001124	911.8255615234375	282.82083739295246	1.26e+03	1.191859245300293	0:05
17.8%	8900	17.800000000001013	896.7412109375	286.1483866578812	1.26e+03	1.2086811065673828	0:05
18.0%	9000	18.000000000000902	885.7384033203125	301.3281419307216	1.26e+03	1.2218248844146729	0:05
18.2%	9100	18.20000000000079	924.5357055664062	277.0261743507831	1.26e+03	1.235612154006958	0:05
18.4%	9200	18.40000000000068	939.4754638671875	303.935313317034	1.26e+03	1.2478950023651123	0:05
18.6%	9300	18.60000000000057	917.9654541015625	295.23946478383425	1.26e+03	1.260802984237671	0:05
18.8%	9400	18.80000000000046	892.86376953125	343.11472675597264	1.26e+03	1.2747161388397217	0:05
19.0%	9500	19.000000000000348	988.0511474609375	299.1979548415598	1.26e+03	1.2887511253356934	0:05
19.2%	9600	19.200000000000237	947.8324584960938	311.4804175947417	1.26e+03	1.3021459579467773	0:05
19.4%	9700	19.400000000000126	964.6292114257812	320.5473751526543	1.26e+03	1.3163409233093262	0:05
19.6%	9800	19.600000000000016	938.0390014648438	329.001050060471	1.26e+03	1.3291199207305908	0:05
19.8%	9900	19.799999999999905	973.34375	291.28291337707054	1.26e+03	1.341982126235962	0:05
20.0%	10000	19.999999999999794	935.2017211914062	292.28200641169957	1.26e+03	1.3550021648406982	0:05
20.2%	10100	20.199999999999683	981.5133056640625	304.5072290005566	1.26e+03	1.3690330982208252	0:05
20.4%	10200	20.399999999999572	935.6222534179688	302.2221220426439	1.26e+03	1.3818190097808838	0:05
20.6%	10300	20.59999999999946	945.25390625	313.2573049453758	1.26e+03	1.396183967590332	0:05
20.8%	10400	20.79999999999935	900.6324462890625	312.28012232804383	1.26e+03	1.4093830585479736	0:05
21.0%	10500	20.99999999999924	891.04443359375	298.3709404363341	1.26e+03	1.4224638938903809	0:05
21.2%	10600	21.19999999999913	906.0158081054688	291.2850679642796	1.26e+03	1.4363620281219482	0:05
21.4%	10700	21.399999999999018	907.979736328125	295.9458268624848	1.26e+03	1.4497270584106445	0:05
21.6%	10800	21.599999999998907	913.1204833984375	280.7052529030999	1.26e+03	1.4623420238494873	0:05
21.8%	10900	21.799999999998796	933.447509765625	290.58266818251866	1.27e+03	1.4752700328826904	0:05
22.0%	11000	21.999999999998685	950.3629150390625	327.447072067932	1.27e+03	1.488062858581543	0:05
22.2%	11100	22.199999999998575	915.6658935546875	306.0203803815131	1.27e+03	1.5018081665039062	0:05
22.4%	11200	22.399999999998464	886.8372802734375	305.14709966624736	1.27e+03	1.5149009227752686	0:05
22.6%	11300	22.599999999998353	908.5806274414062	289.4687745393655	1.27e+03	1.5281550884246826	0:05
22.8%	11400	22.799999999998242	893.3319702148438	312.5886094632482	1.27e+03	1.5422260761260986	0:05
23.0%	11500	22.99999999999813	928.76220703125	312.8627908639924	1.27e+03	1.5547571182250977	0:05
23.2%	11600	23.19999999999802	919.7366943359375	315.7174711304808	1.27e+03	1.5689430236816406	0:05
23.4%	11700	23.39999999999791	926.62646484375	335.87532392062445	1.27e+03	1.5815870761871338	0:05
23.6%	11800	23.5999999999978	946.9564208984375	313.8923560886878	1.27e+03	1.595465898513794	0:05
23.8%	11900	23.799999999997688	879.3382568359375	336.22622601740534	1.27e+03	1.6097519397735596	0:05
24.0%	12000	23.999999999997577	902.94189453125	314.60430207777836	1.27e+03	1.622225046157837	0:05
24.2%	12100	24.199999999997466	960.998046875	294.19975558231675	1.27e+03	1.636579990386963	0:05
24.4%	12200	24.399999999997355	950.5881958007812	289.90663647726024	1.27e+03	1.6506221294403076	0:05
24.6%	12300	24.599999999997245	883.7059326171875	296.0758017595997	1.27e+03	1.6629910469055176	0:05
24.8%	12400	24.799999999997134	910.725830078125	283.62496178367036	1.27e+03	1.6757311820983887	0:05
25.0%	12500	24.999999999997023	844.7579956054688	312.0446456189967	1.27e+03	1.6898751258850098	0:05
25.2%	12600	25.199999999996912	909.602294921875	291.23841612145463	1.27e+03	1.7031981945037842	0:05
25.4%	12700	25.3999999999968	946.7817993164062	276.37560340674804	1.27e+03	1.7151689529418945	0:05
25.6%	12800	25.59999999999669	870.7427368164062	314.7921283990148	1.27e+03	1.7268579006195068	0:05
25.8%	12900	25.79999999999658	894.6917724609375	290.9795633472867	1.27e+03	1.739650011062622	0:05
26.0%	13000	25.99999999999647	902.1405639648438	323.01434610824134	1.27e+03	1.7526519298553467	0:05
26.2%	13100	26.199999999996358	889.9476928710938	280.83359234116307	1.27e+03	1.7658050060272217	0:05
26.4%	13200	26.399999999996247	889.7217407226562	306.3730124109278	1.27e+03	1.7789690494537354	0:04
26.6%	13300	26.599999999996136	845.6561889648438	316.426176841761	1.27e+03	1.7927310466766357	0:04
26.8%	13400	26.799999999996025	835.478271484375	304.0702687611721	1.27e+03	1.8068201541900635	0:04
27.0%	13500	26.999999999995914	876.2872924804688	305.14753751273446	1.27e+03	1.8192710876464844	0:04
27.2%	13600	27.199999999995804	866.4437866210938	309.1357695991189	1.27e+03	1.8318440914154053	0:04
