epoch,lr,train_loss,val_loss,test_loss,step
0.0,9.999999747378752e-05,752.0574951171875,756.7398681640625,21.712467193603516,7
1.0,9.999999747378752e-05,750.2974243164062,755.473876953125,21.69451904296875,15
2.0,9.999999747378752e-05,749.4150390625,755.08203125,21.68687629699707,23
3.0,9.999999747378752e-05,749.0015869140625,754.9512939453125,21.681514739990234,31
4.0,9.999999747378752e-05,748.922119140625,754.9027099609375,21.677234649658203,39
5.0,9.999999747378752e-05,748.707763671875,754.9033203125,21.67363739013672,47
6.0,9.999999747378752e-05,748.6201171875,754.9144287109375,21.671205520629883,55
7.0,9.999999747378752e-05,748.4319458007812,754.8840942382812,21.669084548950195,63
8.0,9.999999747378752e-05,748.1588745117188,754.836669921875,21.66681671142578,71
9.0,9.999999747378752e-05,747.9376220703125,754.830078125,21.665142059326172,79
10.0,9.999999747378752e-05,748.0232543945312,754.7498168945312,21.664257049560547,87
11.0,9.999999747378752e-05,747.9376220703125,754.6834716796875,21.663177490234375,95
12.0,9.999999747378752e-05,747.665771484375,754.6519775390625,21.661745071411133,103
13.0,9.999999747378752e-05,747.746826171875,754.630126953125,21.66061019897461,111
14.0,9.999999747378752e-05,747.9970703125,754.639404296875,21.659683227539062,119
15.0,9.999999747378752e-05,747.4382934570312,754.5240478515625,21.658531188964844,127
16.0,9.999999747378752e-05,747.71240234375,754.5045166015625,21.657581329345703,135
17.0,9.999999747378752e-05,747.385009765625,754.5025634765625,21.656978607177734,143
18.0,9.999999747378752e-05,747.5288696289062,754.4926147460938,21.655757904052734,151
19.0,9.999999747378752e-05,747.39404296875,754.5016479492188,21.654884338378906,159
20.0,9.999999747378752e-05,747.2686767578125,754.4009399414062,21.65419578552246,167
21.0,9.999999747378752e-05,747.2503051757812,754.3890380859375,21.65380859375,175
22.0,9.999999747378752e-05,747.3042602539062,754.3637084960938,21.653602600097656,183
23.0,9.999999747378752e-05,747.2130126953125,754.3299560546875,21.653133392333984,191
24.0,9.999999747378752e-05,747.02685546875,754.3961181640625,21.652158737182617,199
25.0,9.999999747378752e-05,747.1004028320312,754.30908203125,21.651939392089844,207
26.0,9.999999747378752e-05,746.9027099609375,754.284912109375,21.651229858398438,215
27.0,9.999999747378752e-05,746.8384399414062,754.2942504882812,21.651378631591797,223
28.0,9.999999747378752e-05,746.8245239257812,754.3197021484375,21.650943756103516,231
29.0,9.999999747378752e-05,746.88671875,754.2354736328125,21.650449752807617,239
30.0,9.999999747378752e-05,746.8089599609375,754.2142333984375,21.65015983581543,247
31.0,9.999999747378752e-05,746.6365356445312,754.180419921875,21.64983558654785,255
32.0,9.999999747378752e-05,746.4381103515625,754.131591796875,21.650310516357422,263
33.0,9.999999747378752e-05,746.5570678710938,754.16943359375,21.65053939819336,271
34.0,9.999999747378752e-05,746.5192260742188,754.1629638671875,21.64978790283203,279
35.0,9.999999747378752e-05,746.2724609375,754.0799560546875,21.649585723876953,287
36.0,9.999999747378752e-05,746.2791137695312,754.1148681640625,21.64931297302246,295
37.0,9.999999747378752e-05,746.3096923828125,754.03271484375,21.648788452148438,303
38.0,9.999999747378752e-05,746.408935546875,754.0529174804688,21.649417877197266,311
39.0,9.999999747378752e-05,746.15234375,754.029541015625,21.649051666259766,319
40.0,9.999999747378752e-05,746.2669067382812,754.043212890625,21.649011611938477,327
