step,ns,e_pot,e_kin,e_tot,T,time_cost_so_far
50,9.999999999999999e-05,-65.28705194592476,11.090574264526367,-54.19647768139839,177.17558235890598,0.4758272171020508
100,0.00019999999999999998,-64.70605683326721,10.682262420654297,-54.023794412612915,170.65266596191972,0.6117010116577148
150,0.0003,-68.5205188691616,11.290342330932617,-57.23017653822899,180.36694311787488,0.7455282211303711
200,0.00039999999999999996,-62.548184245824814,10.497947692871094,-52.05023655295372,167.70817738509606,0.8830573558807373
250,0.0005,-64.50379103422165,10.41657829284668,-54.08721274137497,166.4082743781226,1.0164883136749268
300,0.0006,-62.58293703198433,9.711962699890137,-52.87097433209419,155.15180784684938,1.1500542163848877
350,0.0007,-61.586791664361954,9.652464866638184,-51.93432679772377,154.20131033390945,1.2833054065704346
400,0.0007999999999999999,-62.15696647763252,10.440140724182129,-51.716825753450394,166.78469199132076,1.4160761833190918
450,0.0009,-59.79495707154274,9.123899459838867,-50.67105761170387,145.7573036007342,1.5481491088867188
500,0.001,-57.88058006763458,8.710258483886719,-49.170321583747864,139.1492525608309,1.677694320678711
550,0.0010999999999999998,-62.67115115374327,7.951460361480713,-54.719690792262554,127.02720224823872,1.8060259819030762
600,0.0012,-55.63129681348801,7.6757965087890625,-47.955500304698944,122.6233812673755,1.9348082542419434
650,0.0013,-59.57764673233032,7.841840744018555,-51.73580598831177,125.275992698708,2.0650272369384766
700,0.0014,-53.805876299738884,9.797962188720703,-44.00791411101818,156.52567804984326,2.1939661502838135
750,0.0015,-59.792519211769104,7.116008281707764,-52.67651093006134,113.68057968062429,2.3261032104492188
800,0.0015999999999999999,-53.53911145031452,8.03784465789795,-45.50126679241657,128.40721987936737,2.4589931964874268
850,0.0017,-59.67637413740158,6.870405673980713,-52.80596846342087,109.75699700446928,2.5919034481048584
900,0.0018,-63.18605029582977,9.11905574798584,-54.06699454784393,145.6799237060714,2.731959104537964
950,0.0019,-60.43349349498749,6.027921199798584,-54.405572295188904,96.29802961636985,2.8677010536193848
1000,0.002,-56.726090759038925,7.808295249938965,-48.91779550909996,124.74009236502745,3.0041441917419434
1050,0.0021,-67.1858331412077,7.178454875946045,-60.00737826526165,114.678184623038,3.134331226348877
1100,0.0021999999999999997,-54.45648342370987,8.663562774658203,-45.792920649051666,138.40327320224284,3.265834093093872
1150,0.0023,-64.95739471912384,8.80174732208252,-56.15564739704132,140.6108169307236,3.397684335708618
1200,0.0024,-64.34935054183006,10.280193328857422,-54.06915721297264,164.22947958865126,3.5268211364746094
1250,0.0025,-54.16918720304966,8.33209228515625,-45.83709491789341,133.10792278922182,3.6563022136688232
1300,0.0026,-47.287649512290955,9.030573844909668,-38.25707566738129,144.26639611662205,3.785053253173828
1350,0.0026999999999999997,-61.66563452780247,9.560148239135742,-52.105486288666725,152.72652175677766,3.9142611026763916
1400,0.0028,-55.58873015642166,8.06800365447998,-47.52072650194168,128.88901979840972,4.043142318725586
1450,0.0029,-62.12768203020096,8.525625228881836,-53.60205680131912,136.1996754065673,4.1743552684783936
1500,0.003,-56.99988743662834,10.221075057983398,-46.77881237864494,163.2850457099062,4.308650016784668
1550,0.0031,-65.2968961596489,11.128149032592773,-54.16874712705612,177.77585167367536,4.438467264175415
1600,0.0031999999999999997,-64.88275157660246,12.78925895690918,-52.09349261969328,204.31263067025748,4.5680482387542725
1650,0.0033,-61.40151101350784,10.149179458618164,-51.25233155488968,162.13648979361597,4.709701299667358
1700,0.0034,-55.77761924266815,10.234535217285156,-45.543084025382996,163.50007619489745,4.849827289581299
1750,0.0034999999999999996,-61.423153042793274,9.988998413085938,-51.434154629707336,159.57754475180639,4.983386278152466
1800,0.0036,-65.0017557144165,9.462224960327148,-55.539530754089355,151.16216507554614,5.127472162246704
1850,0.0036999999999999997,-66.77947145700455,9.812308311462402,-56.967163145542145,156.7548620930432,5.271547317504883
1900,0.0038,-69.19462225586176,11.137382507324219,-58.05723974853754,177.92335947838595,5.415356159210205
1950,0.0039,-57.34723052382469,8.92570972442627,-48.42152079939842,142.59115720003794,5.559922218322754
2000,0.004,-65.54300446808338,9.827168464660645,-55.71583600342274,156.99225794235122,5.7019782066345215
2050,0.0040999999999999995,-66.44886654615402,10.868218421936035,-55.58064812421799,173.62337442429458,5.839604377746582
2100,0.0042,-62.23847734928131,9.050756454467773,-53.18772089481354,144.58881996201455,5.9809181690216064
2150,0.0043,-54.59452986717224,7.1682844161987305,-47.42624545097351,114.51570817361267,6.116183042526245
2200,0.004399999999999999,-56.22798717021942,7.959381103515625,-48.268606066703796,127.15373871508687,6.260351181030273
2250,0.0045,-61.92524164915085,8.25637149810791,-53.66887015104294,131.8982582378671,6.407821178436279
2300,0.0046,-66.48697274923325,9.032010078430176,-57.45496267080307,144.28934042088707,6.54849100112915
2350,0.0047,-65.43067692220211,9.788369178771973,-55.64230774343014,156.37242655143552,6.688844203948975
2400,0.0048,-55.63146632909775,8.99856948852539,-46.63289684057236,143.75511596600413,6.8323540687561035
2450,0.0049,-67.89922034740448,9.095752716064453,-58.80346763134003,145.30765008408179,6.972201347351074
2500,0.005,-62.76273775100708,9.437349319458008,-53.32538843154907,150.76476850685464,7.118296146392822
2550,0.0050999999999999995,-68.1433733701706,9.183963775634766,-58.95940959453583,146.71685085918105,7.26645827293396
2600,0.0052,-67.58663415908813,10.48333740234375,-57.103296756744385,167.47477317437864,7.4083781242370605
2650,0.0053,-59.4429866373539,10.351221084594727,-49.09176555275917,165.36417141670697,7.545839309692383
2700,0.005399999999999999,-62.2265023291111,10.096443176269531,-52.13005915284157,161.29401028681093,7.685193300247192
2750,0.0055,-63.15870553255081,10.333433151245117,-52.825272381305695,165.08000331368467,7.825967311859131
2800,0.0056,-63.04744105041027,10.154346466064453,-52.89309458434582,162.21903444202766,7.964852333068848
2850,0.005699999999999999,-54.06558585166931,9.562665939331055,-44.50291991233826,152.76674284791957,8.104019403457642
2900,0.0058,-60.04378366470337,8.532180786132812,-51.51160287857056,136.30440259615423,8.237118244171143
2950,0.0059,-68.53826868534088,8.911614418029785,-59.626654267311096,142.36598003069045,8.373240232467651
3000,0.006,-60.96689611673355,9.804070472717285,-51.162825644016266,156.6232599016478,8.503976345062256
3050,0.0060999999999999995,-63.9889417886734,11.118334770202637,-52.870607018470764,177.6190655945309,8.636425256729126
3100,0.0062,-59.452854838222265,10.494503021240234,-48.95835181698203,167.65314761948827,8.765523195266724
3150,0.0063,-60.563865542411804,9.994050979614258,-50.569814562797546,159.65826116880254,8.909271240234375
3200,0.0063999999999999994,-64.61127316951752,8.940404891967773,-55.670868277549744,142.82591734905526,9.051768064498901
3250,0.0065,-68.703000664711,9.738075256347656,-58.96492540836334,155.5689645500905,9.191660165786743
3300,0.0066,-64.69200348854065,9.768686294555664,-54.923317193984985,156.05798598322423,9.331753253936768
3350,0.006699999999999999,-61.45573711395264,9.77507209777832,-51.680665016174316,156.16000129621142,9.470170259475708
3400,0.0068,-66.30457413196564,10.187751770019531,-56.116822361946106,162.75269519222417,9.608305215835571
3450,0.0069,-68.00578933954239,10.730663299560547,-57.27512603998184,171.42588596859932,9.740604162216187
3500,0.006999999999999999,-63.109580636024475,11.493606567382812,-51.61597406864166,183.61415634658857,9.869998216629028
3550,0.0070999999999999995,-54.800389528274536,9.095935821533203,-45.70445370674133,145.31057525434667,10.004333257675171
3600,0.0072,-57.72093486785889,7.503662586212158,-50.21727228164673,119.87348507184353,10.164603233337402
3650,0.0073,-62.95748656988144,8.574200630187988,-54.38328593969345,136.97568346615563,10.313899040222168
3700,0.0073999999999999995,-63.84067052602768,10.838656425476074,-53.002014100551605,173.15111177913667,10.449487209320068
3750,0.0075,-67.38049215078354,12.159875869750977,-55.22061628103256,194.2580282362993,10.579601287841797
3800,0.0076,-64.39696031808853,9.981345176696777,-54.415615141391754,159.45528177589208,10.708254337310791
3850,0.007699999999999999,-54.84246689081192,8.068061828613281,-46.77440506219864,128.88994914937928,10.839609146118164
3900,0.0078,-62.01426720619202,8.084085464477539,-53.93018174171448,129.14593201807864,10.969730138778687
3950,0.007899999999999999,-62.052037358284,7.210296154022217,-54.84174120426178,115.18685954388877,11.0991690158844
4000,0.008,-55.82191491127014,8.036249160766602,-47.78566575050354,128.38173128638238,11.234831094741821
4050,0.0081,-64.99389654397964,9.10380744934082,-55.890089094638824,145.4363271052123,11.369245290756226
4100,0.008199999999999999,-57.92950338125229,10.01022720336914,-47.91927617788315,159.9166816793893,11.515652179718018
4150,0.0083,-65.28631430864334,9.999311447143555,-55.287002861499786,159.74229887287026,11.654689073562622
4200,0.0084,-67.20441454648972,10.781121253967285,-56.42329329252243,172.23196843497328,11.7868332862854
4250,0.008499999999999999,-63.089256167411804,10.574338912963867,-52.51491725444794,168.92855232549348,11.916711330413818
4300,0.0086,-65.77454286813736,9.52104663848877,-56.25349622964859,152.10186078787257,12.053676128387451
4350,0.0087,-58.56294709444046,9.29156494140625,-49.27138215303421,148.43581497712017,12.189703226089478
4400,0.008799999999999999,-64.06275641918182,9.609631538391113,-54.45312488079071,153.5170337855959,12.327600240707397
4450,0.0089,-67.360051587224,10.616523742675781,-56.743527844548225,169.60246889578562,12.456596374511719
4500,0.009,-66.87655460461974,9.7691011428833,-57.10745346173644,156.06461332210554,12.596320152282715
4550,0.0091,-56.53302821516991,9.159854888916016,-47.37317332625389,146.33170344097368,12.733193397521973
4600,0.0092,-66.19036817550659,10.042441368103027,-56.147926807403564,160.43131358760238,12.863770246505737
4650,0.0093,-65.65487968921661,8.427669525146484,-57.22721016407013,134.63480072643475,12.993842363357544
4700,0.0094,-65.57996094226837,10.888166427612305,-54.69179451465607,173.94205039528524,13.13277006149292
4750,0.0095,-62.480783224105835,9.21395206451416,-53.266831159591675,147.19592366636184,13.263725280761719
4800,0.0096,-65.07078340649605,8.410282135009766,-56.66050127148628,134.3570314333668,13.391505241394043
4850,0.0097,-59.84824928641319,9.868508338928223,-49.97974094748497,157.6526760706919,13.523022174835205
4900,0.0098,-60.246767938137054,9.42852783203125,-50.818240106105804,150.62384233524,13.652129173278809
4950,0.009899999999999999,-59.091973185539246,9.353660583496094,-49.73831260204315,149.42781334319287,13.78018307685852
5000,0.01,-62.89154124259949,8.471779823303223,-54.419761419296265,135.33947729029333,13.91629433631897
5050,0.0101,-61.4678236246109,9.833028793334961,-51.63479483127594,157.08587862608871,14.048723220825195
5100,0.010199999999999999,-70.34218256920576,10.982220649719238,-59.35996191948652,175.44459761940965,14.181425333023071
5150,0.0103,-68.23002415895462,10.770554542541504,-57.45946961641312,172.06316173427163,14.308931112289429
