#"Progress (%)"	"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"	"Elapsed Time (s)"	"Time Remaining"
17.4%	8700	17.400000000001235	-391.6975871557562	275.68523230075306	464	3.2046377658843994	0:15
17.6%	8800	17.600000000001124	-377.83290209716245	277.9344440012261	464	3.241168975830078	0:15
17.8%	8900	17.800000000001013	-352.6068889135687	255.48836102945393	464	3.275662899017334	0:15
18.0%	9000	18.000000000000902	-372.21693530028745	333.79888975008134	464	3.3141510486602783	0:15
18.2%	9100	18.20000000000079	-364.87892260497495	303.23756260000675	464	3.3542797565460205	0:15
18.4%	9200	18.40000000000068	-362.26576342528745	264.9706824200876	464	3.390941858291626	0:15
18.6%	9300	18.60000000000057	-378.31202807372495	340.16022714078895	464	3.4269418716430664	0:15
18.8%	9400	18.80000000000046	-350.2880412573187	309.96043541290817	464	3.4651849269866943	0:15
19.0%	9500	19.000000000000348	-381.7797709936468	243.8391092305321	464	3.5026049613952637	0:15
19.2%	9600	19.200000000000237	-368.88005175536557	265.79748071181143	464	3.53883695602417	0:15
19.4%	9700	19.400000000000126	-383.10511889403745	337.0294677774573	463	3.5841970443725586	0:15
19.6%	9800	19.600000000000016	-361.08903613036557	299.1267183311631	462	3.629175901412964	0:15
19.8%	9900	19.799999999999905	-348.4149943823187	313.07923732246405	461	3.6746699810028076	0:15
20.0%	10000	19.999999999999794	-368.38615527099057	375.24360250228546	460	3.718953847885132	0:15
20.2%	10100	20.199999999999683	-338.24479784911557	259.9496129347938	459	3.7654378414154053	0:15
20.4%	10200	20.399999999999572	-351.9873820776312	300.8043166840134	458	3.8112008571624756	0:15
20.6%	10300	20.59999999999946	-361.3686076635687	371.5280198004179	457	3.8570468425750732	0:15
20.8%	10400	20.79999999999935	-343.62651171630307	333.6231560386986	456	3.90144681930542	0:14
21.0%	10500	20.99999999999924	-355.4653178686468	371.72482354438444	455	3.947014808654785	0:14
21.2%	10600	21.19999999999913	-377.0346538061468	419.5315010162485	455	3.9914119243621826	0:14
21.4%	10700	21.399999999999018	-357.5696574682562	287.0489282738085	454	4.036667108535767	0:14
21.6%	10800	21.599999999998907	-395.40406908934995	425.4082461769067	453	4.0831217765808105	0:14
21.8%	10900	21.799999999998796	-360.1078959936468	381.0427407809295	452	4.127795934677124	0:14
22.0%	11000	21.999999999998685	-359.55729784911557	449.4226272451602	452	4.171428918838501	0:14
22.2%	11100	22.199999999998575	-373.5065471166937	439.70405521082097	451	4.216833829879761	0:14
22.4%	11200	22.399999999998464	-370.41578783934995	396.1484506090447	450	4.261555910110474	0:14
22.6%	11300	22.599999999998353	-365.61744799559995	503.84653141541855	449	4.307960033416748	0:14
22.8%	11400	22.799999999998242	-358.98219408934995	449.02047428952716	448	4.35400390625	0:14
23.0%	11500	22.99999999999813	-355.11296191161557	343.41447394722564	448	4.40078592300415	0:14
23.2%	11600	23.19999999999802	-367.00309863036557	333.6876587889467	447	4.44652795791626	0:14
23.4%	11700	23.39999999999791	-376.4292766088812	291.5461673904816	446	4.49043083190918	0:14
23.6%	11800	23.5999999999978	-382.9299174780218	261.7664756864989	446	4.537320852279663	0:14
23.8%	11900	23.799999999997688	-391.8849650854437	353.4524737176305	445	4.583228826522827	0:14
24.0%	12000	23.999999999997577	-373.25026049559995	270.67836305536895	444	4.6281418800354	0:14
24.2%	12100	24.199999999997466	-371.70863451903745	265.31211598479194	444	4.674409866333008	0:14
24.4%	12200	24.399999999997355	-364.1714641088812	208.02415588010993	443	4.720164060592651	0:14
24.6%	12300	24.599999999997245	-386.3725139135687	285.0858524738735	442	4.766933917999268	0:14
24.8%	12400	24.799999999997134	-369.4745952123968	234.21627822204715	442	4.812940835952759	0:14
25.0%	12500	24.999999999997023	-368.2574321264593	356.83505036601184	441	4.858922958374023	0:14
25.2%	12600	25.199999999996912	-365.91618456786557	322.90106458990255	441	4.902301788330078	0:14
25.4%	12700	25.3999999999968	-371.96659960692807	350.44077172352627	440	4.9463348388671875	0:14
25.6%	12800	25.59999999999669	-378.4608012670843	271.002640568155	440	4.992342948913574	0:14
25.8%	12900	25.79999999999658	-356.8762065405218	223.47021254395398	439	5.03799295425415	0:14
26.0%	13000	25.99999999999647	-386.6066752905218	276.16766917404885	438	5.084691762924194	0:14
26.2%	13100	26.199999999996358	-376.7285930151312	211.89584336698698	438	5.130685806274414	0:14
26.4%	13200	26.399999999996247	-383.76844897216245	238.0924960861357	437	5.17512583732605	0:14
26.6%	13300	26.599999999996136	-373.15467944091245	308.68830659710653	437	5.221705913543701	0:14
26.8%	13400	26.799999999996025	-343.31312670653745	266.5064642695525	436	5.266408920288086	0:14
27.0%	13500	26.999999999995914	-346.73967089599057	308.1328819327967	436	5.313352823257446	0:14
27.2%	13600	27.199999999995804	-341.85609545653745	312.62367535052323	435	5.35802698135376	0:14
27.4%	13700	27.399999999995693	-367.99940600341245	333.4831969839959	435	5.403477907180786	0:14
27.6%	13800	27.599999999995582	-365.43226733153745	259.198725269654	434	5.45004677772522	0:14
