#"Progress (%)"	"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"	"Elapsed Time (s)"	"Time Remaining"
26.6%	13300	26.599999999996136	-8622.767578125	307.7259164207953	339	6.734962224960327	0:18
26.8%	13400	26.799999999996025	-8581.4375	292.8621392435344	339	6.7862632274627686	0:18
27.0%	13500	26.999999999995914	-8881.681640625	297.78606473547785	339	6.836126327514648	0:18
27.2%	13600	27.199999999995804	-8912.982421875	299.8599247773134	339	6.886115074157715	0:18
27.4%	13700	27.399999999995693	-8845.10546875	288.47436129989	339	6.9362523555755615	0:18
27.6%	13800	27.599999999995582	-8948.4287109375	293.38196505238807	339	6.98759913444519	0:18
27.8%	13900	27.79999999999547	-8797.1484375	289.588553061338	339	7.037298202514648	0:18
28.0%	14000	27.99999999999536	-8884.3935546875	287.9925838748654	339	7.086473226547241	0:18
28.2%	14100	28.19999999999525	-8997.5546875	288.42910121985966	339	7.137786149978638	0:18
28.4%	14200	28.39999999999514	-9026.94921875	285.4130865753584	339	7.1888203620910645	0:18
28.6%	14300	28.599999999995028	-9251.630859375	290.0216631956367	339	7.2402801513671875	0:18
28.8%	14400	28.799999999994917	-9048.6591796875	287.36469790366874	339	7.289598226547241	0:18
29.0%	14500	28.999999999994806	-8985.6298828125	293.84237290156835	339	7.339116096496582	0:18
29.2%	14600	29.199999999994695	-8913.6611328125	294.7349086726584	339	7.390759229660034	0:18
29.4%	14700	29.399999999994584	-8969.5712890625	292.31443719055096	339	7.440212249755859	0:17
29.6%	14800	29.599999999994473	-9190.9619140625	298.56821083271876	339	7.491015195846558	0:17
29.8%	14900	29.799999999994363	-9062.740234375	300.03205302505904	339	7.541893243789673	0:17
30.0%	15000	29.99999999999425	-8957.75	297.48281536392795	339	7.592968225479126	0:17
30.2%	15100	30.19999999999414	-8908.689453125	297.78002341267205	339	7.643569231033325	0:17
30.4%	15200	30.39999999999403	-8959.1025390625	303.8461304270187	339	7.6932902336120605	0:17
30.6%	15300	30.59999999999392	-8817.912109375	287.0804401669672	339	7.74274206161499	0:17
30.8%	15400	30.79999999999381	-8874.470703125	286.96118014577684	339	7.792100191116333	0:17
31.0%	15500	30.999999999993697	-8960.5146484375	300.94598343720486	339	7.843007326126099	0:17
31.2%	15600	31.199999999993587	-9008.5546875	296.84977462985563	339	7.894135236740112	0:17
31.4%	15700	31.399999999993476	-8948.53515625	294.6468686650819	339	7.945844411849976	0:17
31.6%	15800	31.599999999993365	-8739.4140625	288.3998723186804	339	7.995820045471191	0:17
31.8%	15900	31.799999999993254	-9065.853515625	298.8829037146312	339	8.04633116722107	0:17
32.0%	16000	31.999999999993143	-8834.046875	302.1308175650501	339	8.09759521484375	0:17
32.2%	16100	32.19999999999339	-8957.078125	303.9733298291686	339	8.148193120956421	0:17
32.4%	16200	32.39999999999363	-8743.701171875	289.61990893303505	339	8.19960618019104	0:17
32.6%	16300	32.59999999999388	-8964.41796875	295.13417315549947	339	8.251201152801514	0:17
32.8%	16400	32.79999999999412	-8718.4140625	284.92921249643905	339	8.301188230514526	0:17
33.0%	16500	32.999999999994365	-8758.4970703125	291.0951985147823	339	8.352413177490234	0:17
33.2%	16600	33.19999999999461	-8888.8564453125	299.3822264524474	339	8.403739213943481	0:17
33.4%	16700	33.399999999994854	-8856.1962890625	293.3276824286604	339	8.455026388168335	0:16
33.6%	16800	33.5999999999951	-8909.36328125	288.10521288086346	339	8.50655722618103	0:16
33.8%	16900	33.79999999999534	-9035.0556640625	297.6663501624356	339	8.556528329849243	0:16
34.0%	17000	33.99999999999559	-9004.35546875	303.22892115527424	339	8.606670141220093	0:16
34.2%	17100	34.19999999999583	-8823.5517578125	295.809972115529	339	8.657082319259644	0:16
34.4%	17200	34.399999999996076	-8865.2314453125	300.2176441093181	339	8.708624124526978	0:16
34.6%	17300	34.59999999999632	-8899.15625	304.8126643603414	339	8.760054111480713	0:16
34.8%	17400	34.799999999996565	-8822.81640625	302.1393944257246	339	8.811086177825928	0:16
35.0%	17500	34.99999999999681	-8765.2392578125	297.265495524276	338	8.903446197509766	0:16
35.2%	17600	35.199999999997054	-8760.4990234375	301.92237456385993	338	8.95337700843811	0:16
35.4%	17700	35.3999999999973	-8798.8671875	302.4695520440198	338	9.00472617149353	0:16
35.6%	17800	35.59999999999754	-8976.837890625	302.00532157911255	338	9.054326057434082	0:16
35.8%	17900	35.79999999999779	-8712.0908203125	306.82347801207527	338	9.103874206542969	0:16
36.0%	18000	35.99999999999803	-8627.435546875	295.0556682107138	338	9.153749465942383	0:16
36.2%	18100	36.199999999998276	-8909.96875	307.7203386818016	338	9.205071210861206	0:16
36.4%	18200	36.39999999999852	-8972.8603515625	308.1915196832544	338	9.255953311920166	0:16
36.6%	18300	36.599999999998765	-9105.5771484375	306.52926056126495	338	9.307664155960083	0:16
36.8%	18400	36.79999999999901	-8939.2587890625	304.4675039914878	338	9.359021186828613	0:16
37.0%	18500	36.999999999999254	-8921.7470703125	300.2081658873066	338	9.410245180130005	0:16
37.2%	18600	37.1999999999995	-8838.890625	298.3818387272299	338	9.461035013198853	0:16
37.4%	18700	37.39999999999974	-8822.16796875	300.4058814517548	338	9.511163234710693	0:16
37.6%	18800	37.59999999999999	-8669.7509765625	298.1588434388909	338	9.561329364776611	0:15
37.8%	18900	37.80000000000023	-8685.7763671875	295.1444463264298	338	9.61143445968628	0:15
38.0%	19000	38.000000000000476	-9017.3759765625	302.25057371748613	338	9.662672281265259	0:15
38.2%	19100	38.20000000000072	-8957.8310546875	302.28770889593994	338	9.71547818183899	0:15
38.4%	19200	38.400000000000965	-8883.701171875	296.542320573757	338	9.765667200088501	0:15
38.6%	19300	38.60000000000121	-8992.0849609375	301.46236810338104	338	9.816954135894775	0:15
38.8%	19400	38.800000000001454	-8910.4287109375	291.4875376746307	338	9.868018388748169	0:15
39.0%	19500	39.0000000000017	-8922.8720703125	292.8349546338281	338	9.917900085449219	0:15
39.2%	19600	39.20000000000194	-8906.3251953125	301.1163139867548	338	9.968790054321289	0:15
39.4%	19700	39.40000000000219	-8952.66796875	308.4863697567771	338	10.019519329071045	0:15
39.6%	19800	39.60000000000243	-8670.7529296875	305.8874394758674	338	10.07075309753418	0:15
39.8%	19900	39.800000000002676	-8775.4609375	310.55507130694144	338	10.12146520614624	0:15
40.0%	20000	40.00000000000292	-8972.546875	308.0244200834714	338	10.172668218612671	0:15
40.2%	20100	40.200000000003165	-8934.1083984375	304.46414950599427	338	10.22255825996399	0:15
40.4%	20200	40.40000000000341	-8998.744140625	300.254990599702	338	10.274471282958984	0:15
40.6%	20300	40.600000000003654	-8947.625	298.4039125456152	338	10.324474096298218	0:15
40.8%	20400	40.8000000000039	-8898.716796875	300.88063702644627	338	10.3753981590271	0:15
41.0%	20500	41.00000000000414	-8900.796875	307.7578520906496	338	10.42513108253479	0:15
41.2%	20600	41.20000000000439	-8798.3896484375	306.8472420411974	338	10.476503133773804	0:15
41.4%	20700	41.40000000000463	-8828.2568359375	305.4283742371007	338	10.526015281677246	0:14
41.6%	20800	41.600000000004876	-8675.2685546875	299.5675650036226	338	10.577138185501099	0:14
41.8%	20900	41.80000000000512	-8848.953125	300.421286247842	338	10.628397226333618	0:14
42.0%	21000	42.000000000005365	-8752.7939453125	294.81520137152035	338	10.67963433265686	0:14
42.2%	21100	42.20000000000561	-8824.9970703125	298.52753030941506	338	10.731868267059326	0:14
42.4%	21200	42.40000000000585	-8661.314453125	290.0161689706971	338	10.782108306884766	0:14
42.6%	21300	42.6000000000061	-8723.5634765625	294.68371741746336	338	10.833032369613647	0:14
42.8%	21400	42.80000000000634	-8863.8828125	295.85916832450283	338	10.883939266204834	0:14
43.0%	21500	43.00000000000659	-9168.1064453125	301.5573092850398	338	10.935401201248169	0:14
43.2%	21600	43.20000000000683	-8935.287109375	291.6871592178472	338	10.987008094787598	0:14
43.4%	21700	43.400000000007076	-8836.4462890625	295.01429520474807	338	11.039265155792236	0:14
43.6%	21800	43.60000000000732	-8887.2509765625	293.6724221623137	338	11.090808153152466	0:14
43.8%	21900	43.800000000007564	-8812.841796875	296.51157641026117	338	11.141825199127197	0:14
44.0%	22000	44.00000000000781	-9114.5009765625	309.90777775928285	338	11.192930221557617	0:14
44.2%	22100	44.20000000000805	-8705.9755859375	299.05117675198477	338	11.244463205337524	0:14
44.4%	22200	44.4000000000083	-8866.15625	298.93698570163735	338	11.296212434768677	0:14
44.6%	22300	44.60000000000854	-8907.5419921875	301.4725120630427	338	11.34589433670044	0:14
44.8%	22400	44.80000000000879	-9018.6259765625	301.2835085281139	338	11.397548198699951	0:14
45.0%	22500	45.00000000000903	-9011.53125	298.8865860625707	338	11.448835134506226	0:14
45.2%	22600	45.200000000009275	-9008.724609375	305.2758360207211	338	11.498575210571289	0:14
45.4%	22700	45.40000000000952	-8682.2978515625	295.6106762637289	338	11.54985523223877	0:13
45.6%	22800	45.600000000009764	-8938.115234375	301.45019347658877	338	11.600037336349487	0:13
45.8%	22900	45.80000000001001	-9108.56640625	303.70488340412584	338	11.651410341262817	0:13
46.0%	23000	46.00000000001025	-8963.6240234375	303.32379696352166	338	11.702889204025269	0:13
46.2%	23100	46.2000000000105	-8995.7177734375	306.0251659838151	338	11.754322290420532	0:13
46.4%	23200	46.40000000001074	-8902.4443359375	300.392799651126	338	11.805160284042358	0:13
46.6%	23300	46.600000000010986	-8891.357421875	297.0943212564342	338	11.856265306472778	0:13
46.8%	23400	46.80000000001123	-8905.9384765625	303.17665273034993	338	11.907682180404663	0:13
47.0%	23500	47.000000000011475	-8860.89453125	303.4876614476964	337	11.999345302581787	0:13
47.2%	23600	47.20000000001172	-8726.451171875	297.78491828785815	337	12.053367137908936	0:13
47.4%	23700	47.400000000011964	-8921.19140625	306.2805354077923	337	12.104451179504395	0:13
47.6%	23800	47.60000000001221	-8708.2236328125	297.36127632624084	337	12.154568195343018	0:13
47.8%	23900	47.80000000001245	-8823.7802734375	307.5808637478492	337	12.20494532585144	0:13
48.0%	24000	48.0000000000127	-8818.1875	304.6732748934751	337	12.256179332733154	0:13
48.2%	24100	48.20000000001294	-8892.439453125	307.169763816839	337	12.310127258300781	0:13
48.4%	24200	48.400000000013186	-8857.2373046875	309.87950369119585	337	12.359700441360474	0:13
48.6%	24300	48.60000000001343	-8805.318359375	303.649565944557	337	12.411131143569946	0:13
