#"Progress (%)"	"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"	"Elapsed Time (s)"	"Time Remaining"
24.0%	12000	23.999999999997577	-8652.14453125	295.1344043146808	336	6.113472938537598	0:19
24.2%	12100	24.199999999997466	-8663.525390625	294.42704378054464	336	6.163441181182861	0:19
24.4%	12200	24.399999999997355	-8720.8671875	304.71530847061666	337	6.213463068008423	0:19
24.6%	12300	24.599999999997245	-8789.181640625	304.9082955302995	337	6.264895915985107	0:19
24.8%	12400	24.799999999997134	-8767.4765625	304.5751738806566	337	6.316081285476685	0:19
25.0%	12500	24.999999999997023	-8868.5234375	292.8483374986091	337	6.365673065185547	0:19
25.2%	12600	25.199999999996912	-8748.052734375	298.3957954793841	337	6.415554046630859	0:19
25.4%	12700	25.3999999999968	-8554.490234375	299.4727187108366	337	6.466338157653809	0:19
25.6%	12800	25.59999999999669	-8585.7919921875	301.0673715483956	337	6.5174400806427	0:19
25.8%	12900	25.79999999999658	-8655.3837890625	308.7467276334085	337	6.568720102310181	0:19
26.0%	13000	25.99999999999647	-8520.931640625	308.6186524972847	337	6.618419170379639	0:18
26.2%	13100	26.199999999996358	-8589.2890625	304.55399455426476	337	6.669785022735596	0:18
26.4%	13200	26.399999999996247	-8622.248046875	305.8817219581443	337	6.719486951828003	0:18
26.6%	13300	26.599999999996136	-8871.505859375	305.47577130644305	337	6.7697060108184814	0:18
26.8%	13400	26.799999999996025	-8596.232421875	297.10242219172824	337	6.821599960327148	0:18
27.0%	13500	26.999999999995914	-8886.04296875	311.4770013560192	337	6.871641159057617	0:18
27.2%	13600	27.199999999995804	-8886.3857421875	295.53469927367684	337	6.923979043960571	0:18
27.4%	13700	27.399999999995693	-8968.58203125	299.09285116643485	337	6.974971055984497	0:18
27.6%	13800	27.599999999995582	-8673.9970703125	288.53803145681917	337	7.0249340534210205	0:18
27.8%	13900	27.79999999999547	-8688.736328125	288.5114140846446	337	7.077351093292236	0:18
28.0%	14000	27.99999999999536	-8849.1875	291.54569345196285	337	7.127576112747192	0:18
28.2%	14100	28.19999999999525	-8761.29296875	296.104354113243	337	7.180495023727417	0:18
28.4%	14200	28.39999999999514	-8761.9951171875	294.6539924293021	337	7.231476068496704	0:18
28.6%	14300	28.599999999995028	-8987.896484375	304.60747923926397	337	7.282402038574219	0:18
28.8%	14400	28.799999999994917	-8935.6650390625	296.998222553209	337	7.3332679271698	0:18
29.0%	14500	28.999999999994806	-8751.3447265625	301.0933027331416	337	7.382654190063477	0:18
29.2%	14600	29.199999999994695	-8720.2353515625	303.21853752801445	337	7.4333860874176025	0:18
29.4%	14700	29.399999999994584	-8924.865234375	302.9282641142986	337	7.484342098236084	0:18
29.6%	14800	29.599999999994473	-8541.029296875	300.844234732592	337	7.535303115844727	0:18
29.8%	14900	29.799999999994363	-8656.87109375	302.0411411373473	337	7.585633039474487	0:17
30.0%	15000	29.99999999999425	-8737.96484375	303.5764929285859	337	7.637933015823364	0:17
30.2%	15100	30.19999999999414	-8846.560546875	307.0806242641787	337	7.689831256866455	0:17
30.4%	15200	30.39999999999403	-9007.2958984375	301.78263274230903	337	7.741441011428833	0:17
30.6%	15300	30.59999999999392	-8975.8916015625	309.2831493920229	337	7.7921600341796875	0:17
30.8%	15400	30.79999999999381	-8800.0126953125	290.7052288086489	337	7.843981027603149	0:17
31.0%	15500	30.999999999993697	-8853.72265625	297.68691907698553	337	7.894883155822754	0:17
31.2%	15600	31.199999999993587	-8948.3115234375	297.30038739837624	337	7.9460248947143555	0:17
31.4%	15700	31.399999999993476	-8821.623046875	293.2181262690228	337	7.997112035751343	0:17
31.6%	15800	31.599999999993365	-8701.8212890625	299.2431557449441	337	8.047131061553955	0:17
31.8%	15900	31.799999999993254	-8709.3779296875	296.45645709419955	337	8.100492000579834	0:17
32.0%	16000	31.999999999993143	-8679.267578125	300.75566148187266	337	8.149590015411377	0:17
32.2%	16100	32.19999999999339	-8608.95703125	301.7203750713447	337	8.201308250427246	0:17
32.4%	16200	32.39999999999363	-8690.904296875	312.0692431188367	337	8.252291202545166	0:17
32.6%	16300	32.59999999999388	-8760.09765625	306.07073941789554	337	8.302005052566528	0:17
32.8%	16400	32.79999999999412	-8662.927734375	308.83961798603235	337	8.351357221603394	0:17
33.0%	16500	32.999999999994365	-8813.962890625	306.7379410733658	337	8.40119218826294	0:17
33.2%	16600	33.19999999999461	-8805.2158203125	304.71376598201437	337	8.452337265014648	0:17
33.4%	16700	33.399999999994854	-8872.830078125	296.3849876812797	337	8.502066135406494	0:17
33.6%	16800	33.5999999999951	-8852.6435546875	300.5184382000328	337	8.551546096801758	0:17
33.8%	16900	33.79999999999534	-8978.3251953125	300.3542675185894	338	8.601458311080933	0:16
34.0%	17000	33.99999999999559	-8676.7060546875	295.80890986374135	338	8.65126919746399	0:16
34.2%	17100	34.19999999999583	-9031.7294921875	299.30911853481575	338	8.702176094055176	0:16
34.4%	17200	34.399999999996076	-8957.6494140625	297.16523188237227	338	8.753412008285522	0:16
34.6%	17300	34.59999999999632	-9002.419921875	299.5569799113713	338	8.803927183151245	0:16
34.8%	17400	34.799999999996565	-8936.14453125	292.020481443113	338	8.854398250579834	0:16
35.0%	17500	34.99999999999681	-8915.302734375	291.67383730174885	336	8.951422214508057	0:16
35.2%	17600	35.199999999997054	-9163.853515625	301.9800004862851	336	9.00216007232666	0:16
35.4%	17700	35.3999999999973	-8923.263671875	295.3543926862687	336	9.053297281265259	0:16
35.6%	17800	35.59999999999754	-9051.259765625	303.50210329381036	336	9.104509115219116	0:16
35.8%	17900	35.79999999999779	-8987.865234375	293.2438732559516	336	9.155168056488037	0:16
36.0%	18000	35.99999999999803	-8830.255859375	294.1215888108929	336	9.206024169921875	0:16
36.2%	18100	36.199999999998276	-9022.8359375	294.0701957125422	336	9.258130311965942	0:16
36.4%	18200	36.39999999999852	-9004.8837890625	292.9959780405441	336	9.30767011642456	0:16
36.6%	18300	36.599999999998765	-8909.72265625	298.1014452547565	336	9.358004093170166	0:16
36.8%	18400	36.79999999999901	-9009.248046875	298.43303929914333	336	9.40887713432312	0:16
37.0%	18500	36.999999999999254	-8957.751953125	299.82428245368334	336	9.458438158035278	0:16
